Mario bestellingen

Let op! De vermelde prijzen zijn de prijzen ten tijde van de bestelling

Winkelnaam;Klantnaam;TelefoonNr;Email;Adres;Woonplaats;Besteldatum;AfleverType;AfleverDatum;AfleverMoment;Product;PizzaBodem;PizzaSaus;Prijs;Bezorgkosten;Aantal;Extra Ingrediënten;Prijs Extra Ingrediënten;Regelprijs;Totaalprijs;Gebruikte Coupon;Coupon Korting;Te Betalen
;;;;;;;;;;Hawaii;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 17,90;;;;
;;;;;;;;;;Hawaii;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 21,90;;;;

Groningen Boterdiep;Freerk Sijstermans;06-41604412;FreerkSijstermans@gustr.com;Jacob van Ruysdaelstraat 94;Groningen;dinsdag 16 oktober 2018;Afhalen;dinsdag 16 oktober 2018;17:58;Margaritha;Italian Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 5,95;€ 10,90;;€ 0,00;€ 10,90
;;;;;;;;;;Perfect Pepperoni;Medium Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 4,95;;;;

Bergen op Zoom;Daley Serné;06-42128177;DaleySerne@fleckens.hu;Princesseplaat 178;Bergen op Zoom;zondag 8 december 2019;Afhalen;zondag 8 december 2019;19:14;Hot & Spicy;Medium Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 6,95;€ 28,85;;€ 0,00;€ 28,85
;;;;;;;;;;Bacon Gorgonzola;Medium Cheesy Crust Pizza;Tomatensaus;€ 8,95;;2;;€ 0,00;€ 21,90;;;;

Rotterdam Hoogvliet;Toke Lubbers;06-70961021;TokeLubbers@fleckens.hu;Tolhuisstraat 187;Rotterdam;donderdag 13 juli 2017;Bezorgen;donderdag 13 juli 2017;18:01;Chicken Supreme;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 12,95;€ 114,55;25% korting op je bestelling;€ 28,64;€ 85,91
;;;;;;;;;;Funghi;Large Pizza;Tomatensaus;€ 4,95;€ 2,00;2;;€ 0,00;€ 21,90;;;;
;;;;;;;;;;Bacon Gorgonzola;Large Pizza;Tomatensaus;€ 8,95;€ 2,00;4;;€ 0,00;€ 59,80;;;;
;;;;;;;;;;Veggi;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 19,90;;;;

Lelystad;Chinouk Ottink;06-14992546;ChinoukOttink@rhyta.com;De Waag 69;Lelystad;maandag 6 augustus 2018;Afhalen;maandag 6 augustus 2018;17:31;Veggi;Italian Pizza;Tomatensaus;€ 6,95;;4;;€ 0,00;€ 31,80;€ 102,50;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 100,50
;;;;;;;;;;Extravaganzza;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 19,90;;;;
;;;;;;;;;;Four Cheese;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;;2;Spaanse Pepers, Kip, Paprikamix, Honing Mosterdsaus;€ 3,50;€ 26,90;;;;
;;;;;;;;;;Supreme;Large Pizza;Barbecue Saus;€ 7,95;;2;;€ 0,00;€ 23,90;;;;

Sneek;Marthijs van Diermen;06-22910576;MarthijsvanDiermen@superrito.com;Zilverschoon 25;Sneek;woensdag 31 mei 2017;Bezorgen;woensdag 31 mei 2017;20:33;Perfect Pepperoni;Family XXL Pizza;Tomatensaus;€ 4,95;€ 2,00;2;;€ 0,00;€ 23,90;€ 23,90;;€ 0,00;€ 23,90

Delfzijl;Rachel Nijssen;06-44698290;RachelNijssen@gustr.com;Hoenderhof 18;Delfzijl;donderdag 13 juni 2019;Bezorgen;donderdag 13 juni 2019;20:04;BBQ Chicken Hawaii;Medium Cheesy Crust Pizza;Barbecue Saus;€ 6,95;€ 2,00;1;;€ 0,00;€ 10,95;€ 33,80;;€ 0,00;€ 33,80
;;;;;;;;;;Perfect Pepperoni;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Margaritha;Medium Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 6,95;;;;
;;;;;;;;;;Caprese;Medium Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 6,95;;;;

Hilversum;Freerk Philippi;06-94397547;FreerkPhilippi@superrito.com;Primulastraat 95;Hilversum;maandag 13 maart 2017;Afhalen;maandag 13 maart 2017;16:51;Pollo Pomodore;Medium Pizza;Tomatensaus;€ 8,95;;2;;€ 0,00;€ 17,90;€ 17,90;;€ 0,00;€ 17,90

Oud Beijerland;Jörgen Orsel;06-98443237;JorgenOrsel@einrot.com;Sportlaan 147;Oud-Beijerland;maandag 29 oktober 2018;Afhalen;maandag 29 oktober 2018;16:03;Shoarma;Family XXL Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 12,95;€ 12,95;;€ 0,00;€ 12,95

Leidschendam;Renée Meesters;06-43670596;ReneeMeesters@gustr.com;Populierendreef 65;Voorburg;dinsdag 20 februari 2018;Bezorgen;dinsdag 20 februari 2018;19:35;Beenham;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 13,95;€ 47,80;;€ 0,00;€ 47,80
;;;;;;;;;;BBQ Cannibale;Large Pizza;Barbecue Saus;€ 4,95;€ 2,00;2;;€ 0,00;€ 21,90;;;;
;;;;;;;;;;Pollo Pomodore;Italian Pizza;Tomatensaus;€ 8,95;€ 2,00;1;;€ 0,00;€ 11,95;;;;

Wageningen;Björn Maijer;06-68673050;BjornMaijer@superrito.com;Haarweg 178;Wageningen;donderdag 22 maart 2018;Bezorgen;donderdag 22 maart 2018;16:01;Creamy Bacon;Large Pizza;Creme Fraiche;€ 7,95;€ 2,00;1;;€ 0,00;€ 13,95;€ 63,75;;€ 0,00;€ 63,75
;;;;;;;;;;Salame Speciale;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 9,95;;;;
;;;;;;;;;;BBQ Chicken Hawaii;Italian Pizza;Barbecue Saus;€ 6,95;€ 2,00;2;Tonijn, Spaanse Pepers, Paprikamix, Geitenkaas;€ 4,50;€ 28,90;;;;
;;;;;;;;;;Caprese;Large Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;

Helmond Brandevoort;Meeuwis Koelewijn;06-98389845;MeeuwisKoelewijn@superrito.com;Venstraat 95;Helmond;zaterdag 3 juni 2017;Afhalen;zaterdag 3 juni 2017;16:42;Hawaii;Family XXL Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 23,90;€ 74,65;;€ 0,00;€ 74,65
;;;;;;;;;;Tonno;Family XXL Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 23,90;;;;
;;;;;;;;;;Hot & Spicy;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Beenham;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 17,90;;;;

Emmen;Jorik Regeling;06-42510123;JorikRegeling@cuvox.de;Wilhelminastraat 3;Emmen;vrijdag 24 november 2017;Bezorgen;vrijdag 24 november 2017;18:16;Supreme;Family XXL Pizza;Barbecue Saus;€ 7,95;€ 2,00;2;;€ 0,00;€ 29,90;€ 29,90;;€ 0,00;€ 29,90

Dordrecht Bamendaweg;Lorna Verwaal;06-68003357;LornaVerwaal@jourrapide.com;Meerkoetstraat 67;Dordrecht;dinsdag 13 februari 2018;Afhalen;dinsdag 13 februari 2018;20:02;Chicken Kebab;Large Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 11,95;€ 11,95;25% korting op je bestelling;€ 2,99;€ 8,96

Valkenswaard;Emese Molema;06-74766329;EmeseMolema@fleckens.hu;De Lentenier 77;Valkenswaard;zondag 18 juni 2017;Bezorgen;zondag 18 juni 2017;20:20;Beenham;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 12,95;€ 55,75;;€ 0,00;€ 55,75
;;;;;;;;;;Extravaganzza;Medium Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 9,95;;;;
;;;;;;;;;;BBQ Cannibale;Large Pizza;Barbecue Saus;€ 4,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;
;;;;;;;;;;Hot & Spicy;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 21,90;;;;

Uden;Xanne van Rooy;06-75146083;XannevanRooy@cuvox.de;Wijsthoek 96;Uden;woensdag 4 januari 2017;Afhalen;woensdag 4 januari 2017;17:17;Veggi;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 8,95;€ 53,70;;€ 0,00;€ 53,70
;;;;;;;;;;Hot & Spicy;Medium Pizza;Tomatensaus;€ 6,95;;2;Rode Ui, Chorizo;€ 2,00;€ 17,90;;;;
;;;;;;;;;;Extravaganzza;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 19,90;;;;
;;;;;;;;;;Salame Speciale;Medium Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 6,95;;;;

Barendrecht;Gerianne Sneep;06-22759042;GerianneSneep@einrot.com;Botter 171;Barendrecht;zondag 27 augustus 2017;Afhalen;zondag 27 augustus 2017;16:32;Americana;Medium Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 6,95;€ 6,95;;€ 0,00;€ 6,95

Heemskerk;Alinde Paijmans;06-50445887;AlindePaijmans@teleworm.us;Debora Bakelaan 68;Heemskerk;vrijdag 28 juni 2019;Afhalen;vrijdag 28 juni 2019;17:54;Creamy Bacon;Medium Cheesy Crust Pizza;Creme Fraiche;€ 7,95;;4;;€ 0,00;€ 39,80;€ 39,80;;€ 0,00;€ 39,80

Delft Papsouwselaan;Giovanna Chang;06-40663646;GiovannaChang@cuvox.de;Eisenhowerlaan 124;Delft;donderdag 7 november 2019;Bezorgen;donderdag 7 november 2019;18:50;Pollo Pomodore;Family XXL Pizza;Tomatensaus;€ 8,95;€ 2,00;1;;€ 0,00;€ 15,95;€ 25,90;;€ 0,00;€ 25,90
;;;;;;;;;;Perfect Pepperoni;Italian Pizza;Tomatensaus;€ 4,95;€ 2,00;1;Gorgonzola, Chorizo;€ 2,00;€ 9,95;;;;

Amsterdam Ceintuurbaan;Aschwin Grijpstra;06-82921567;AschwinGrijpstra@rhyta.com;De Lierhof 172;Amsterdam;maandag 19 november 2018;Bezorgen;maandag 19 november 2018;18:25;Veggi;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 13,95;€ 27,85;;€ 0,00;€ 27,85
;;;;;;;;;;Perfect Pepperoni;Medium Pizza;Tomatensaus;€ 4,95;€ 2,00;2;;€ 0,00;€ 13,90;;;;

Groningen Paddepoel;Wiggert Visser;06-41501560;WiggertVisser@einrot.com;Bentismaheerd 34;Groningen;zaterdag 21 juli 2018;Afhalen;zaterdag 21 juli 2018;16:13;Salame Speciale;Family XXL Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 23,90;€ 83,50;;€ 0,00;€ 83,50
;;;;;;;;;;BBQ Mixed Grill;Medium Cheesy Crust Pizza;Barbecue Saus;€ 7,95;;4;;€ 0,00;€ 39,80;;;;
;;;;;;;;;;Margaritha;Medium Pizza;Tomatensaus;€ 4,95;;4;;€ 0,00;€ 19,80;;;;

Purmerend;Bojoura Frenken;06-56274866;BojouraFrenken@dayrep.com;Sneekermeer 140;Purmerend;woensdag 11 januari 2017;Afhalen;woensdag 11 januari 2017;18:01;BBQ Chicken Hawaii;Medium Cheesy Crust Pizza;Barbecue Saus;€ 6,95;;1;;€ 0,00;€ 8,95;€ 51,75;25% korting op je bestelling;€ 12,94;€ 38,81
;;;;;;;;;;BBQ Mixed Grill;Large Pizza;Barbecue Saus;€ 7,95;;1;;€ 0,00;€ 11,95;;;;
;;;;;;;;;;Bacon Gorgonzola;Italian Pizza;Tomatensaus;€ 8,95;;2;;€ 0,00;€ 19,90;;;;
;;;;;;;;;;Hawaii;Large Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 10,95;;;;

Hoorn;Elco Lang;06-51193372;ElcoLang@teleworm.us;Butterwoud 112;Zwaag;zaterdag 30 september 2017;Afhalen;zaterdag 30 september 2017;19:35;Supreme;Medium Pizza;Barbecue Saus;€ 7,95;;1;;€ 0,00;€ 7,95;€ 7,95;;€ 0,00;€ 7,95

Maastricht;Just van Amerongen;06-86961504;JustvanAmerongen@superrito.com;Micastraat 125;Maastricht;woensdag 20 november 2019;Bezorgen;woensdag 20 november 2019;17:37;BBQ Mixed Grill;Large Pizza;Barbecue Saus;€ 7,95;€ 2,00;1;;€ 0,00;€ 13,95;€ 13,95;;€ 0,00;€ 13,95

Maastricht;Mirian Brink;06-75523647;MirianBrink@rhyta.com;Ermerikstraat 52;Maastricht;dinsdag 2 mei 2017;Afhalen;dinsdag 2 mei 2017;16:18;Tricolore;Family XXL Pizza;Creme Fraiche;€ 8,95;;1;;€ 0,00;€ 13,95;€ 25,90;;€ 0,00;€ 25,90
;;;;;;;;;;Supreme;Large Pizza;Barbecue Saus;€ 7,95;;1;;€ 0,00;€ 11,95;;;;

Hoogezand;Youssef Hofland;06-63960120;YoussefHofland@einrot.com;Steert 109;Midwoud;vrijdag 6 juli 2018;Bezorgen;vrijdag 6 juli 2018;20:10;Bacon Gorgonzola;Medium Cheesy Crust Pizza;Tomatensaus;€ 8,95;€ 2,00;2;;€ 0,00;€ 25,90;€ 35,85;;€ 0,00;€ 35,85
;;;;;;;;;;Beenham;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 9,95;;;;

Zwolle;Aditya Somsen;06-17397727;AdityaSomsen@superrito.com;Heivlinder 68;Zwolle;maandag 21 januari 2019;Bezorgen;maandag 21 januari 2019;17:45;Americana;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;4;;€ 0,00;€ 51,80;€ 51,80;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 49,80

Delfzijl;Lianne Bhagwandin;06-50701655;LianneBhagwandin@superrito.com;Weempad 10;Delfzijl;maandag 28 oktober 2019;Bezorgen;maandag 28 oktober 2019;18:15;Salame Speciale;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 12,95;€ 38,85;3e pizza gratis bij bezorgen;€ 0,00;€ 38,85
;;;;;;;;;;BBQ Chicken Hawaii;Large Pizza;Barbecue Saus;€ 6,95;€ 2,00;2;;€ 0,00;€ 25,90;;;;

Leidschendam;Rijkje Venhorst;06-23352967;RijkjeVenhorst@superrito.com;Fransstraat 62;Voorburg;zondag 3 november 2019;Afhalen;zondag 3 november 2019;16:28;Americana;Family XXL Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 23,90;€ 23,90;;€ 0,00;€ 23,90

Amsterdam Ceintuurbaan;Hamdi Arts;06-91373703;HamdiArts@fleckens.hu;Philip Vingboonsstraat 147;Amsterdam;woensdag 13 november 2019;Afhalen;woensdag 13 november 2019;16:17;Hot & Spicy;Italian Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 15,90;€ 15,90;;€ 0,00;€ 15,90

Den Bosch;Sofiane Mes;06-75063242;SofianeMes@jourrapide.com;Kokmeeuw 183;s-Hertogenbosch;maandag 5 juni 2017;Bezorgen;maandag 5 juni 2017;18:04;Salame Speciale;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 19,90;€ 30,85;;€ 0,00;€ 30,85
;;;;;;;;;;Perfect Pepperoni;Large Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;

Voorschoten;Romee van Ginneken;06-51180641;RomeevanGinneken@cuvox.de;Brunita Josepha Gemmekelaan 165;Voorschoten;woensdag 4 juli 2018;Afhalen;woensdag 4 juli 2018;17:41;Creamy Bacon;Large Pizza;Creme Fraiche;€ 7,95;;1;;€ 0,00;€ 11,95;€ 11,95;;€ 0,00;€ 11,95

Amsterdam Noord;Marlissa Finke;06-82595285;MarlissaFinke@gustr.com;Van Mourik Broekmanstraat 174;Amsterdam;zondag 4 februari 2018;Bezorgen;zondag 4 februari 2018;18:48;Supreme;Large Pizza;Barbecue Saus;€ 7,95;€ 2,00;2;;€ 0,00;€ 27,90;€ 62,75;;€ 0,00;€ 62,75
;;;;;;;;;;BBQ Cannibale;Large Pizza;Barbecue Saus;€ 4,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;
;;;;;;;;;;Americana;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 12,95;;;;
;;;;;;;;;;Extravaganzza;Italian Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;

Venlo;Samuel Sprenkels;06-57278102;SamuelSprenkels@superrito.com;Hendrikxstraat 11;Venlo;dinsdag 6 augustus 2019;Afhalen;dinsdag 6 augustus 2019;19:10;Salame Speciale;Family XXL Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 11,95;€ 11,95;;€ 0,00;€ 11,95

Ridderkerk;Hjalmar Steneker;06-16227930;HjalmarSteneker@teleworm.us;Burgemeester Crezeestraat 88;Ridderkerk;dinsdag 30 mei 2017;Afhalen;dinsdag 30 mei 2017;17:03;Salame Speciale;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 17,90;€ 17,90;25% korting op je bestelling;€ 4,48;€ 13,43

IJmuiden;Wiebren Radstake;06-61825233;WiebrenRadstake@rhyta.com;Westeinde 178;Meppel;zaterdag 13 januari 2018;Afhalen;zaterdag 13 januari 2018;19:02;BBQ Cannibale;Family XXL Pizza;Barbecue Saus;€ 4,95;;1;;€ 0,00;€ 9,95;€ 9,95;;€ 0,00;€ 9,95

Hilversum;Thijmen Bindels;06-49189682;ThijmenBindels@jourrapide.com;Van der Zaenlaan 83;Hilversum;woensdag 12 april 2017;Afhalen;woensdag 12 april 2017;17:22;Extravaganzza;Italian Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 8,95;€ 40,70;;€ 0,00;€ 40,70
;;;;;;;;;;Veggi;Italian Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 7,95;;;;
;;;;;;;;;;Perfect Pepperoni;Italian Pizza;Tomatensaus;€ 4,95;;4;;€ 0,00;€ 23,80;;;;

Rotterdam Mariniersweg;Loris Schins;06-31441826;LorisSchins@gustr.com;Toni Koopmanplein 93;Rotterdam;zondag 14 april 2019;Afhalen;zondag 14 april 2019;20:54;Chicken Supreme;Medium Pizza;Tomatensaus;€ 6,95;;4;;€ 0,00;€ 27,80;€ 57,65;25% korting op je bestelling;€ 14,41;€ 43,24
;;;;;;;;;;Four Cheese;Italian Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 17,90;;;;
;;;;;;;;;;Americana;Family XXL Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 11,95;;;;

Geldrop;Galina Weerheim;06-56369457;GalinaWeerheim@teleworm.us;Hazelaar 56;Geldrop;maandag 5 maart 2018;Afhalen;maandag 5 maart 2018;20:05;Americana;Large Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 10,95;€ 28,85;;€ 0,00;€ 28,85
;;;;;;;;;;Salame Speciale;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 17,90;;;;

De Meern;Selma Winkelaar;06-90241788;SelmaWinkelaar@cuvox.de;Jacobus Deckersstraat 63;Eindhoven;maandag 24 juni 2019;Afhalen;maandag 24 juni 2019;17:21;Funghi;Medium Pizza;Tomatensaus;€ 4,95;;2;;€ 0,00;€ 9,90;€ 52,20;;€ 0,00;€ 52,20
;;;;;;;;;;BBQ Chicken Hawaii;Italian Pizza;Barbecue Saus;€ 6,95;;1;Kaasmix;€ 1,50;€ 9,45;;;;
;;;;;;;;;;BBQ Chicken Hawaii;Large Pizza;Barbecue Saus;€ 6,95;;3;;€ 0,00;€ 32,85;;;;

Goes;Marja de Swart;06-48808079;MarjadeSwart@einrot.com;Reigerstraat 145;Goes;dinsdag 6 augustus 2019;Afhalen;dinsdag 6 augustus 2019;19:36;Tricolore;Medium Cheesy Crust Pizza;Creme Fraiche;€ 8,95;;4;;€ 0,00;€ 43,80;€ 43,80;2e pizza gratis bij afhalen;€ 0,00;€ 43,80

Schiedam;Dogukan Peerboom;06-28714482;DogukanPeerboom@superrito.com;Kaag 105;Schiedam;dinsdag 1 oktober 2019;Afhalen;dinsdag 1 oktober 2019;17:37;Deluxe;Family XXL Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 23,90;€ 34,85;2e pizza gratis bij afhalen;€ 6,95;€ 27,90
;;;;;;;;;;Tonno;Large Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 10,95;;;;

Papendrecht;Renuka Helms;06-38504738;RenukaHelms@superrito.com;Beltmolen 5;Papendrecht;dinsdag 15 oktober 2019;Bezorgen;dinsdag 15 oktober 2019;20:20;Deluxe;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 19,90;€ 19,90;;€ 0,00;€ 19,90

Deventer;Debra Veuger;06-17594493;DebraVeuger@superrito.com;Rozenstraat 59;Deventer;zondag 7 oktober 2018;Afhalen;zondag 7 oktober 2018;19:23;Chicken Kebab;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;;2;Spinazie, Pepperoni;€ 2,00;€ 23,90;€ 72,70;;€ 0,00;€ 72,70
;;;;;;;;;;Caprese;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 6,95;;;;
;;;;;;;;;;Supreme;Family XXL Pizza;Barbecue Saus;€ 7,95;;1;;€ 0,00;€ 12,95;;;;
;;;;;;;;;;BBQ Chicken Hawaii;Family XXL Pizza;Barbecue Saus;€ 6,95;;2;Beenham, Gehakt;€ 2,50;€ 28,90;;;;

Den Haag Goudenregenplein;Jisk Casteleijn;06-80722025;JiskCasteleijn@gustr.com;Atheneplantsoen 41;Almere;vrijdag 13 januari 2017;Afhalen;vrijdag 13 januari 2017;16:09;Chicken Kebab;Italian Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 8,95;€ 26,85;;€ 0,00;€ 26,85
;;;;;;;;;;Tonno;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 17,90;;;;

Emmen;Ivo Titulaer;06-87983724;IvoTitulaer@fleckens.hu;Parallelweg 102;Emmen;woensdag 14 augustus 2019;Afhalen;woensdag 14 augustus 2019;18:41;Deluxe;Medium Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 6,95;€ 52,70;;€ 0,00;€ 52,70
;;;;;;;;;;Beenham;Family XXL Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 11,95;;;;
;;;;;;;;;;Funghi;Large Pizza;Tomatensaus;€ 4,95;;2;;€ 0,00;€ 17,90;;;;
;;;;;;;;;;Four Cheese;Medium Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 15,90;;;;

Den Helder;Lima Held;06-85016222;LimaHeld@einrot.com;Johannes Brinkostraat 19;Den Helder;zaterdag 17 augustus 2019;Bezorgen;zaterdag 17 augustus 2019;17:10;Chicken Kebab;Italian Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 21,90;€ 21,90;;€ 0,00;€ 21,90

Amsterdam Overtoom;Fernando Ravestein;06-83542345;FernandoRavestein@cuvox.de;Javastraat 24;Amsterdam;maandag 15 mei 2017;Bezorgen;maandag 15 mei 2017;17:03;Veggi;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 10,95;€ 38,85;;€ 0,00;€ 38,85
;;;;;;;;;;BBQ Chicken Hawaii;Family XXL Pizza;Barbecue Saus;€ 6,95;€ 2,00;2;;€ 0,00;€ 27,90;;;;

Purmerend;Gerrit van Baal;06-69225952;GerritvanBaal@gustr.com;Burgemeester D. Kooimanweg 198;Purmerend;zaterdag 16 maart 2019;Afhalen;zaterdag 16 maart 2019;18:09;Perfect Pepperoni;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;;2;;€ 0,00;€ 13,90;€ 31,80;3e pizza gratis bij bezorgen;€ 0,00;€ 31,80
;;;;;;;;;;Funghi;Large Pizza;Tomatensaus;€ 4,95;;2;;€ 0,00;€ 17,90;;;;

Terneuzen;Najoua Verhulst;06-73746410;NajouaVerhulst@teleworm.us;Lorentzlaan 153;Terneuzen;vrijdag 16 augustus 2019;Afhalen;vrijdag 16 augustus 2019;20:55;Beenham;Large Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 10,95;€ 10,95;;€ 0,00;€ 10,95

Amstelveen;Lennert Roelse;06-37958997;LennertRoelse@einrot.com;Prunuslaan 113;Amstelveen;maandag 5 februari 2018;Bezorgen;maandag 5 februari 2018;16:38;Funghi;Large Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 10,95;€ 10,95;;€ 0,00;€ 10,95

Maarssen;Rody Lit;06-66554662;RodyLit@einrot.com;Raadhuisstraat 61;Maarssen;donderdag 3 augustus 2017;Bezorgen;donderdag 3 augustus 2017;17:12;Four Cheese;Family XXL Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 14,95;€ 24,90;3e pizza gratis bij bezorgen;€ 0,00;€ 24,90
;;;;;;;;;;Deluxe;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 9,95;;;;

Apeldoorn;Fulya Kooren;06-97500024;FulyaKooren@fleckens.hu;Snipweg 139;Apeldoorn;donderdag 26 oktober 2017;Bezorgen;donderdag 26 oktober 2017;18:08;Veggi;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 17,90;€ 84,65;;€ 0,00;€ 84,65
;;;;;;;;;;Tricolore;Large Pizza;Creme Fraiche;€ 8,95;€ 2,00;2;;€ 0,00;€ 29,90;;;;
;;;;;;;;;;Tricolore;Medium Pizza;Creme Fraiche;€ 8,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;
;;;;;;;;;;Beenham;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 25,90;;;;

Heemskerk;Bruno Paling;06-93091154;BrunoPaling@superrito.com;Fazant 129;Heemskerk;dinsdag 23 juli 2019;Bezorgen;dinsdag 23 juli 2019;20:23;Chicken Supreme;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 21,90;€ 59,70;;€ 0,00;€ 59,70
;;;;;;;;;;Perfect Pepperoni;Family XXL Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 11,95;;;;
;;;;;;;;;;Chicken Kebab;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 11,95;;;;
;;;;;;;;;;Margaritha;Medium Pizza;Tomatensaus;€ 4,95;€ 2,00;2;;€ 0,00;€ 13,90;;;;

